General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.92802981,135.839345,0,0,1.009397,0.978141,110.3803,0.0561,0,0,808.408,354.507,361.738,1063.141,0,0
Standard used,ISO 5660-1,1,20.92766108,137.259665,0,0,1.009887,0.995623,110.3803,0.0523,0,0,847.832,354.525,361.772,1063.101,0,0
Date of test,08/11/2006,2,20.92729235,138.679985,0,0,1.010377,1.013106,110.3803,0.0485,0,0,887.256,354.543,361.806,1063.061,0,0
Time of test,14:52,3,20.92512496,138.461214,0,0,1.011242,0.999229,110.3803,0.0486,0,0,896.795,354.588,361.868,1063.084,0,0
Heat flux (kW/m²),50,4,20.92524185,138.967265,0,0,1.01142,1.002956,110.3803,0.052,0,0,897.039,354.615,361.919,1063.106,0,0
Nominal duct flow rate (l/s),24,5,20.92568441,137.57203,0,0,1.01192,1.010222,110.3803,0.0506,0,0,897.374,354.647,361.98,1063.15,0,0
Sampling interval (s),1,6,20.92574848,137.900807,0,0,1.01279,1.000108,110.3803,0.048,0,0,901.018,354.677,361.967,1063.156,0,0
Separation (mm),105,7,20.92604935,138.230405,0,0,1.013065,1.007066,110.3803,0.0478,0,0,904.276,354.64,361.964,1063.151,0,0
Orientation,Horizontal,8,20.92489861,138.03772,0,0,1.013925,1.005262,110.3803,0.0488,0,0,907.052,354.693,362.021,1063.195,0,0
Edge frame?,No,9,20.9246423,137.548555,0,0,1.015135,1.004895,110.3803,0.0465,0,0,906.722,354.701,362.026,1063.188,0,0
Grid?,Yes,10,20.92524185,137.761503,0,0,1.015322,1.012894,110.3803,0.0495,0,0,923.151,354.728,362.072,1063.184,0,0
Non-scrubbed?,No,11,20.92537976,137.601775,0,0,1.015522,1.005009,110.3803,0.0503,0,0,917.854,354.781,362.112,1063.212,0,0
Substrate used? {Y/N},No,12,20.92597931,138.282266,0,0,1.016086,1.010222,110.3803,0.0497,0,0,898.856,354.772,362.119,1063.218,0,0
Substrate,none,13,20.92611721,137.769131,0,0,1.016626,1.011709,110.3803,0.0488,0,0,910.6,354.79,362.139,1063.285,0,0
Additional specimen preparation details,,14,20.92550791,138.195651,0,0,1.016843,1.008906,110.3803,0.0477,0,0,919.802,354.783,362.158,1063.329,0,0
,,15,20.92507889,138.637167,0,0,1.018232,1.013309,110.3803,0.0498,0,0,911.229,354.775,362.129,1063.351,0,0
Specimen,,16,20.92471125,137.570819,0,0,1.018375,1.012853,110.3803,0.0487,0,0,914.322,354.765,362.129,1063.393,0,0
Sample description,B14,17,20.9258414,137.939776,0,0,1.019275,1.011813,110.3803,0.049,0,0,915.152,354.742,362.096,1063.43,0,0
Material name/ID,Birch 4.06.2.1,18,20.92461833,138.464517,0,0,1.019983,1.013913,110.3803,0.0504,0,0,917.473,354.703,362.055,1063.477,0,0
Specimen number,,19,20.92427357,139.762958,0,0,1.020166,1.016686,110.3803,0.0525,0,0,913.349,354.697,362.055,1063.467,0,0
E (MJ/kg),13.1,20,20.92307446,138.97541,0,0,1.02112,1.011567,110.3803,0.0507,0,0,916.522,354.668,362.069,1063.452,0,0
Initial mass (g),113.78,21,20.92279866,138.521101,0,0,1.021265,1.01681,110.3803,0.0484,0,0,919.604,354.665,362.055,1063.404,0,0
Thickness (mm),20.7,22,20.92369798,139.123392,0,0,1.021858,1.017187,110.3803,0.0489,0,0,905.929,354.692,362.089,1063.348,0,0
Surface area (cm²),283.54,23,20.92390484,138.752189,0,0,1.022842,1.011064,110.3803,0.0494,0,0,916.206,354.702,362.1,1063.405,0,0
Sponsor,,24,20.92360507,138.694393,0,0,1.023598,1.022121,110.3803,0.0486,0,0,912.8,354.695,362.112,1063.455,0,0
Manufacturer,,25,20.92383589,137.964404,0,0,1.023939,1.012343,110.3803,0.05,0,0,910.676,354.697,362.107,1063.495,0,0
Test start time (s),125,26,20.92330529,137.967283,0,0,1.024245,1.017331,110.3803,0.0498,0,0,922.886,354.717,362.136,1063.52,0,0
Time to ignition (s),,27,20.92136873,137.990511,0,0,1.024211,1.02005,110.3803,0.0482,0,0,925.703,354.755,362.162,1063.554,0,0
Time to flameout (s),,28,20.92155457,138.81985,0,0,1.024775,1.014168,110.3803,0.0484,0,0,910.57,354.738,362.168,1063.559,0,0
End of test criterion,ISO 5660-1:2002,29,20.92169247,139.078742,0,0,1.02573,1.023594,110.3803,0.0494,0,0,908.85,354.739,362.161,1063.582,0,0
User EOT time (s),,30,20.92199225,138.828031,0,0,1.026129,1.019768,110.3803,0.0491,0,0,902.136,354.718,362.142,1063.592,0,0
MLR EOT mass (g/m²),150,31,20.92146165,138.780467,0,0,1.025943,1.017638,110.3803,0.0528,0,0,896.139,354.685,362.08,1063.584,0,0
MLR EOT time period (s),60,32,20.91982486,138.235492,0,0,1.026616,1.025378,110.3803,0.0485,0,0,903.75,354.656,362.069,1063.586,0,0
Truncate graphs at EOT?,No,33,20.91918032,137.315786,0,0,1.027135,1.01727,110.3803,0.0485,0,0,913.083,354.638,362.044,1063.574,0,0
Smooth data?,No,34,20.9200107,137.955592,0,0,1.027825,1.023784,110.3803,0.0475,0,0,917.004,354.607,362.017,1063.578,0,0
Correct O2 for pressure?,No,35,20.92021756,138.387107,0,0,1.027942,1.01949,110.3803,0.0508,0,0,914.679,354.608,362.037,1063.555,0,0
,,36,20.91991778,136.853487,0,0,1.028522,1.017586,110.3803,0.0502,0,0,918.674,354.6,362.026,1063.546,0,0
Specifications: apparatus,,37,20.91805017,137.196788,0,0,1.029336,1.027183,110.3803,0.0492,0,0,919.392,354.587,361.984,1063.584,0,0
C-factor (SI units),0.038246,38,20.91733668,137.723381,0,0,1.029047,1.016783,110.3803,0.0491,0,0,902.874,354.585,361.955,1063.625,0,0
