Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²)
Peaks,,0,0.113665141452346,0.00882687548331927,-2.63052883099089,0.36511916666665,12.8771660671034,0,0,0,24.4804517818286,-0.0392969141135723,24.0951398424142,24.4410156962495,-0.000960456494663991,-0.0338737566009731,0,0,0,0,0.000195537679847651,0,0
peak HRR (kW/m²),241.593709761231,1,0.305349330368186,0,0,-0.0787614999999811,-2.77779149326307,0,0,0.000209507235910266,24.4324894064297,-0.077441112776662,24.0430899146244,24.3839990887362,-0.00188832402337685,-0.0665981527606985,0,0,0,0,0.00052530338738115,0.0003604205336144,0.209507235910266
peak EHC (MJ/kg),79.4771567332803,2,0.358550272064699,0,0,-0.000654166666667066,-0.0230714067386283,0,0,0.000541457037126708,24.3718651950485,-0.065984080638555,23.9781874358461,24.3156284725773,-0.00160444438991168,-0.0565861744343544,0,0,0,0,0.000616830903311876,0.000931487678960913,0.270728518563354
peak MLR (g/s),0.558398249999999,3,0.406576585053549,0.252689466427213,-44.1473426210051,0.0456214999999969,1.60899696691814,0,0,0.000924020465685832,24.4385669579134,-0.082638116382841,24.0387605177824,24.3721430199763,-0.00201406799138405,-0.0710329403746931,0,0,0,0,0.000699456803537696,0.0015896315323857,0.308006821895277
peak SEA (m²/kg),389.017651022892,4,0.560201423960664,0,0,-0.0499440833333319,-1.76144753238809,0,0,0.00140740947019294,24.5115462803789,-0.0463585492011828,24.1038139455651,24.4382614083465,-0.0011329223438902,-0.0399563498585807,0,0,0,0,0.000963764031838298,0.0024212419500737,0.351852367548235
peak COY (kg/kg),,5,0.591309919854035,1.44032657486886,-258.520861498001,0.0116404166666631,0.410538783475457,0,0,0.00198316514210029,24.4516126690889,-0.123464506608309,24.0446003591771,24.3737299692811,-0.00300929054486144,-0.106132839982417,0,0,0,0,0.00101728671574336,0.00341176732386452,0.396633028420058
peak CO2Y (kg/kg),,6,0.498503776812049,1.75661170542801,-146.920357724167,0.00804650000000133,0.283787119983118,0,0,0.00252807199043333,24.5171240722992,-0.0483818758941622,24.1058280732365,24.4346593962958,-0.00118219465842771,-0.0416941051854309,0,0,0,0,0.000857613731844227,0.00434921754765831,0.421345331738888
,,7,0.665483410989012,0,0,-0.0382944999999992,-1.35058545531492,0,0,0.00311006558433386,24.5138326147508,-0.03449143523135,24.1016895246759,24.4270756943592,-0.000842524899203274,-0.0297144988080438,0,0,0,0,0.00114490444778383,0.00535047663747234,0.444295083476266
Time To Peaks,,8,0.752450884508807,0,0,-0.0252382500000022,-0.890112506172046,0,0,0.00381903273208277,24.3959785337052,-0.116856530697076,23.9828466772235,24.3038364425736,-0.00284006200930831,-0.100164421573969,0,0,0,0,0.00129453829902048,0.0065701980108745,0.477379091510346
t peak HRR (s),55,9,0.764949323315436,0.123053814839712,-3.80146880575198,0.176259249999995,6.21638040488097,0,0,0.00457773283599489,24.4502350435044,-0.0275119729701281,24.0344536781822,24.3546343015,-0.000670044040600221,-0.0236313761938429,0,0,0,0,0.0013160426950737,0.00787548850792159,0.50863698177721
