#FILE:                        13WaT18 10 K min N2 15.2.2007.dsu
#FORMAT:                      NETZSCH4                         
#IDENTITY:                    13 WaT18 10 K min N2             
#DECIMAL:                     POINT                            
#SEPARATOR:                   SEMICOLON                        
#MTYPE:                       DSC                              
#INSTRUMENT:                  NETZSCH STA 449C                 
#PROJECT:                     vtt                              
#DATE/TIME:                   15.2.2007 8:12:40                
#CORR. FILE:                  correction 10K min N2 800 C.bsu  
#LABORATORY:                  EO                               
#OPERATOR:                    TL                               
#REMARK:                                                       
#SAMPLE:                      13 WaT18                         
#SAMPLE MASS /mg:             12.798                           
#MATERIAL:                    Empty crucibles                  
#REFERENCE:                   al2o3                            
#REFERENCE MASS /mg:          40.312                           
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                 
#SAMPLE CRUCIBLE MASS /mg:    0.000                            
#REFERENCE CRUCIBLE MASS /mg: 0.000                            
#PROTECTIVE GAS:              N2                               
#PURGE GAS 1:                 air                              
#FLOW RATE 1 /(ml/min):       40                               
#PURGE GAS 2:                                                  
#FLOW RATE 2:                                                  
#DSC RANGE /æm:               5000                             
#TG RANGE /æm:                5000                             
#CORR. CODE:                  020                              
#EXO:                         +1                               
#RANGE:                       20.0/10.00(K/min)/800.0          
#SEGMENT:                     S1/2                             

##Temp./øC;DSC/(mW/mg)
 23.01411;-9.0376e-003
 24.01411;-1.0729e-002
 25.01411;-1.6536e-002
 26.01411;-2.3815e-002
 27.01411;-3.3491e-002
 28.01411;-4.2924e-002
 29.01411;-5.2817e-002
 30.01411;-6.1660e-002
 31.01411;-7.0710e-002
 32.01411;-7.9570e-002
 33.01411;-8.6719e-002
 34.01411;-9.4003e-002
 35.01411;    -0.10154
 36.01411;    -0.10834
 37.01411;    -0.11399
 38.01411;    -0.11992
 39.01411;    -0.12610
 40.01411;    -0.13267
 41.01411;    -0.13908
 42.01411;    -0.14544
 43.01411;    -0.15173
 44.01411;    -0.15759
 45.01411;    -0.16442
 46.01411;    -0.17113
 47.01411;    -0.17732
 48.01411;    -0.18405
 49.01411;    -0.19186
 50.01411;    -0.19758
 51.01411;    -0.20533
 52.01411;    -0.21184
 53.01411;    -0.21777
 54.01411;    -0.22410
 55.01411;    -0.23082
 56.01411;    -0.23795
 57.01411;    -0.24450
 58.01411;    -0.25070
 59.01411;    -0.25725
 60.01411;    -0.26387
 61.01411;    -0.27012
 62.01411;    -0.27690
 63.01411;    -0.28293
 64.01411;    -0.28931
 65.01411;    -0.29481
 66.01411;    -0.30134
 67.01411;    -0.30690
 68.01411;    -0.31307
 69.01411;    -0.31797
 70.01411;    -0.32191
 71.01411;    -0.32751
 72.01411;    -0.33106
 73.01411;    -0.33577
 74.01411;    -0.33787
 75.01411;    -0.34099
 76.01411;    -0.34400
 77.01411;    -0.34503
 78.01411;    -0.34653
 79.01411;    -0.34724
 80.01411;    -0.34663
 81.01411;    -0.34647
 82.01411;    -0.34489
 83.01411;    -0.34290
 84.01411;    -0.34037
 85.01411;    -0.33672
 86.01411;    -0.33240
 87.01411;    -0.32792
 88.01411;    -0.32230
 89.01411;    -0.31636
 90.01411;    -0.30962
 91.01411;    -0.30150
 92.01411;    -0.29315
 93.01411;    -0.28488
 94.01411;    -0.27588
 95.01411;    -0.26532
 96.01411;    -0.25573
 97.01411;    -0.24457
 98.01411;    -0.23432
 99.01411;    -0.22179
100.01411;    -0.21042
101.01411;    -0.19880
102.01411;    -0.18682
103.01411;    -0.17463
104.01411;    -0.16212
105.01411;    -0.15010
106.01411;    -0.13766
107.01411;    -0.12629
108.01411;    -0.11453
109.01411;    -0.10303
110.01411;-9.1738e-002
111.01411;-8.0020e-002
112.01411;-7.0171e-002
113.01411;-5.9144e-002
114.01411;-4.8527e-002
115.01411;-3.8776e-002
116.01411;-2.9091e-002
117.01411;-1.9560e-002
118.01411;-1.0966e-002
119.01411;-2.1659e-003
120.01411; 6.2297e-003
121.01411; 1.4715e-002
122.01411; 2.1540e-002
123.01411; 2.8843e-002
124.01411; 3.5733e-002
125.01411; 4.3570e-002
126.01411; 4.9165e-002
127.01411; 5.5641e-002
128.01411; 6.1750e-002
129.01411; 6.8069e-002
130.01411; 7.3034e-002
131.01411; 7.8407e-002
132.01411; 8.4065e-002
133.01411; 8.8873e-002
134.01411; 9.3630e-002
135.01411; 9.8711e-002
136.01411;     0.10302
137.01411;     0.10814
138.01411;     0.11199
139.01411;     0.11722
140.01411;     0.12149
141.01411;     0.12628
142.01411;     0.13019
143.01411;     0.13465
144.01411;     0.13909
145.01411;     0.14294
146.01411;     0.14805
147.01411;     0.15190
148.01411;     0.15580
149.01411;     0.15992
150.01411;     0.16396
151.01411;     0.16834
152.01411;     0.17246
153.01411;     0.17625
154.01411;     0.18094
155.01411;     0.18497
156.01411;     0.18939
157.01411;     0.19358
158.01411;     0.19741
159.01411;     0.20188
160.01411;     0.20559
161.01411;     0.20988
162.01411;     0.21416
163.01411;     0.21866
164.01411;     0.22186
165.01411;     0.22727
166.01411;     0.23091
167.01411;     0.23532
168.01411;     0.23978
169.01411;     0.24321
170.01411;     0.24776
171.01411;     0.25168
172.01411;     0.25646
173.01411;     0.26036
174.01411;     0.26428
175.01411;     0.26889
176.01411;     0.27291
177.01411;     0.27697
178.01411;     0.28175
179.01411;     0.28539
180.01411;     0.28946
181.01411;     0.29395
182.01411;     0.29731
183.01411;     0.30234
184.01411;     0.30599
185.01411;     0.31035
186.01411;     0.31395
187.01411;     0.31825
188.01411;     0.32232
189.01411;     0.32630
190.01411;     0.33076
191.01411;     0.33342
192.01411;     0.33747
193.01411;     0.34132
194.01411;     0.34523
195.01411;     0.34872
196.01411;     0.35245
197.01411;     0.35667
198.01411;     0.36043
199.01411;     0.36390
200.01411;     0.36684
201.01411;     0.37114
202.01411;     0.37584
203.01411;     0.37923
204.01411;     0.38298
205.01411;     0.38701
206.01411;     0.39041
207.01411;     0.39348
208.01411;     0.39723
209.01411;     0.40101
210.01411;     0.40561
211.01411;     0.40889
212.01411;     0.41262
213.01411;     0.41654
214.01411;     0.41999
215.01411;     0.42373
216.01411;     0.42724
217.01411;     0.43071
218.01411;     0.43404
219.01411;     0.43735
220.01411;     0.44037
221.01411;     0.44343
222.01411;     0.44564
223.01411;     0.44715
224.01411;     0.45020
225.01411;     0.45098
226.01411;     0.45238
227.01411;     0.45372
228.01411;     0.45381
229.01411;     0.45526
230.01411;     0.45716
231.01411;     0.45837
232.01411;     0.46151
233.01411;     0.46704
234.01411;     0.47375
235.01411;     0.48238
236.01411;     0.49204
237.01411;     0.50202
238.01411;     0.51137
239.01411;     0.51990
240.01411;     0.52680
241.01411;     0.53412
242.01411;     0.54056
243.01411;     0.54626
244.01411;     0.55124
245.01411;     0.55696
246.01411;     0.56064
247.01411;     0.56506
248.01411;     0.56878
249.01411;     0.57276
250.01411;     0.57666
251.01411;     0.58031
252.01411;     0.58439
253.01411;     0.58867
254.01411;     0.59196
255.01411;     0.59571
256.01411;     0.60055
257.01411;     0.60701
258.01411;     0.61161
259.01411;     0.61582
260.01411;     0.61989
261.01411;     0.62427
262.01411;     0.62771
263.01411;     0.63112
264.01411;     0.63484
265.01411;     0.63721
266.01411;     0.64083
267.01411;     0.64257
268.01411;     0.64594
269.01411;     0.64821
270.01411;     0.65085
271.01411;     0.65368
272.01411;     0.65612
273.01411;     0.65808
274.01411;     0.65987
275.01411;     0.66216
276.01411;     0.66381
277.01411;     0.66594
278.01411;     0.66783
279.01411;     0.66825
280.01411;     0.66934
281.01411;     0.66896
282.01411;     0.66893
283.01411;     0.66925
284.01411;     0.67056
285.01411;     0.67110
286.01411;     0.67121
287.01411;     0.67267
288.01411;     0.67413
289.01411;     0.67538
290.01411;     0.67778
291.01411;     0.67869
292.01411;     0.68233
293.01411;     0.68560
294.01411;     0.68932
295.01411;     0.69304
296.01411;     0.69646
297.01411;     0.70024
298.01411;     0.70340
299.01411;     0.70625
300.01411;     0.70844
301.01411;     0.71078
302.01411;     0.71209
303.01411;     0.71371
304.01411;     0.71455
305.01411;     0.71546
306.01411;     0.71646
307.01411;     0.71818
308.01411;     0.71909
309.01411;     0.72041
310.01411;     0.72121
311.01411;     0.72214
312.01411;     0.72213
313.01411;     0.72263
314.01411;     0.72397
315.01411;     0.72376
316.01411;     0.72377
317.01411;     0.72404
318.01411;     0.72438
319.01411;     0.72395
320.01411;     0.72403
321.01411;     0.72362
322.01411;     0.72342
323.01411;     0.72229
324.01411;     0.72137
325.01411;     0.72107
326.01411;     0.71979
327.01411;     0.71936
328.01411;     0.71900
329.01411;     0.71829
330.01411;     0.71739
331.01411;     0.71632
332.01411;     0.71518
333.01411;     0.71369
334.01411;     0.71253
335.01411;     0.71074
336.01411;     0.70896
337.01411;     0.70667
338.01411;     0.70484
339.01411;     0.70193
340.01411;     0.70018
341.01411;     0.69859
342.01411;     0.69528
343.01411;     0.69166
344.01411;     0.68716
345.01411;     0.68221
346.01411;     0.67696
