#FILE:                        13WaT18 10 K min air 14.2.07.dsu
#FORMAT:                      NETZSCH4                        
#IDENTITY:                    13 WaT18 10 K min air           
#DECIMAL:                     POINT                           
#SEPARATOR:                   SEMICOLON                       
#MTYPE:                       DSC                             
#INSTRUMENT:                  NETZSCH STA 449C                
#PROJECT:                     vtt                             
#DATE/TIME:                   14.2.2007 8:09:24               
#CORR. FILE:                  correction 10Kmin air 800 C.bsu 
#LABORATORY:                  EO                              
#OPERATOR:                    TL                              
#REMARK:                                                      
#SAMPLE:                      13 WaT18                        
#SAMPLE MASS /mg:             11.943                          
#MATERIAL:                    Empty crucibles                 
#REFERENCE:                   al2o3                           
#REFERENCE MASS /mg:          40.312                          
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                
#SAMPLE CRUCIBLE MASS /mg:    0.000                           
#REFERENCE CRUCIBLE MASS /mg: 0.000                           
#PROTECTIVE GAS:              N2                              
#PURGE GAS 1:                 air                             
#FLOW RATE 1 /(ml/min):       40                              
#PURGE GAS 2:                                                 
#FLOW RATE 2:                                                 
#DSC RANGE /æm:               5000                            
#TG RANGE /æm:                5000                            
#CORR. CODE:                  020                             
#EXO:                         +1                              
#RANGE:                       20.0/10.00(K/min)/800.0         
#SEGMENT:                     S1/1                            

##Temp./øC;DSC/(mW/mg)
 21.25233;-3.9023e-003
 22.25233;-1.1045e-002
 23.25233;-1.9399e-002
 24.25233;-2.9031e-002
 25.25233;-3.8797e-002
 26.25233;-4.9775e-002
 27.25233;-5.9886e-002
 28.25233;-6.9734e-002
 29.25233;-7.9926e-002
 30.25233;-8.8475e-002
 31.25233;-9.7715e-002
 32.25233;    -0.10504
 33.25233;    -0.11313
 34.25233;    -0.12049
 35.25233;    -0.12752
 36.25233;    -0.13481
 37.25233;    -0.14141
 38.25233;    -0.14825
 39.25233;    -0.15526
 40.25233;    -0.16230
 41.25233;    -0.16918
 42.25233;    -0.17689
 43.25233;    -0.18448
 44.25233;    -0.19113
 45.25233;    -0.19856
 46.25233;    -0.20581
 47.25233;    -0.21336
 48.25233;    -0.22046
 49.25233;    -0.22800
 50.25233;    -0.23479
 51.25233;    -0.24208
 52.25233;    -0.24902
 53.25233;    -0.25671
 54.25233;    -0.26443
 55.25233;    -0.27106
 56.25233;    -0.27810
 57.25233;    -0.28496
 58.25233;    -0.29146
 59.25233;    -0.29827
 60.25233;    -0.30512
 61.25233;    -0.31173
 62.25233;    -0.31832
 63.25233;    -0.32452
 64.25233;    -0.33006
 65.25233;    -0.33663
 66.25233;    -0.34164
 67.25233;    -0.34703
 68.25233;    -0.35224
 69.25233;    -0.35685
 70.25233;    -0.36026
 71.25233;    -0.36464
 72.25233;    -0.36726
 73.25233;    -0.36991
 74.25233;    -0.37223
 75.25233;    -0.37395
 76.25233;    -0.37359
 77.25233;    -0.37461
 78.25233;    -0.37423
 79.25233;    -0.37276
 80.25233;    -0.37065
 81.25233;    -0.36742
 82.25233;    -0.36476
 83.25233;    -0.35955
 84.25233;    -0.35472
 85.25233;    -0.34880
 86.25233;    -0.34229
 87.25233;    -0.33486
 88.25233;    -0.32735
 89.25233;    -0.31901
 90.25233;    -0.31013
 91.25233;    -0.30049
 92.25233;    -0.28923
 93.25233;    -0.27923
 94.25233;    -0.26856
 95.25233;    -0.25671
 96.25233;    -0.24526
 97.25233;    -0.23321
 98.25233;    -0.22090
 99.25233;    -0.20788
100.25233;    -0.19604
101.25233;    -0.18378
102.25233;    -0.17144
103.25233;    -0.15901
104.25233;    -0.14699
105.25233;    -0.13472
106.25233;    -0.12221
107.25233;    -0.11177
108.25233;    -0.10060
109.25233;-9.0091e-002
110.25233;-7.9043e-002
111.25233;-6.9194e-002
112.25233;-5.9307e-002
113.25233;-5.0048e-002
114.25233;-3.9994e-002
115.25233;-3.1356e-002
116.25233;-2.3221e-002
117.25233;-1.5120e-002
118.25233;-6.5988e-003
119.25233; 3.7220e-005
120.25233; 6.7860e-003
121.25233; 1.3779e-002
122.25233; 2.1115e-002
123.25233; 2.6824e-002
124.25233; 3.3367e-002
125.25233; 3.9809e-002
126.25233; 4.5504e-002
127.25233; 5.1014e-002
128.25233; 5.5726e-002
129.25233; 6.1140e-002
130.25233; 6.6661e-002
131.25233; 7.1171e-002
132.25233; 7.5955e-002
133.25233; 8.1051e-002
134.25233; 8.5220e-002
135.25233; 9.0621e-002
136.25233; 9.4135e-002
137.25233; 9.8615e-002
138.25233;     0.10271
139.25233;     0.10678
140.25233;     0.11169
141.25233;     0.11636
142.25233;     0.11952
143.25233;     0.12419
144.25233;     0.12780
145.25233;     0.13248
146.25233;     0.13624
147.25233;     0.13952
148.25233;     0.14416
149.25233;     0.14823
150.25233;     0.15317
151.25233;     0.15622
152.25233;     0.16087
153.25233;     0.16466
154.25233;     0.16895
155.25233;     0.17343
156.25233;     0.17806
157.25233;     0.18183
158.25233;     0.18572
159.25233;     0.19013
160.25233;     0.19524
161.25233;     0.19928
162.25233;     0.20315
163.25233;     0.20761
164.25233;     0.21258
165.25233;     0.21653
166.25233;     0.22049
167.25233;     0.22529
168.25233;     0.22919
169.25233;     0.23358
170.25233;     0.23848
171.25233;     0.24308
172.25233;     0.24726
173.25233;     0.25152
174.25233;     0.25632
175.25233;     0.26052
176.25233;     0.26578
177.25233;     0.26993
178.25233;     0.27544
179.25233;     0.28047
180.25233;     0.28413
181.25233;     0.28898
182.25233;     0.29361
183.25233;     0.29876
184.25233;     0.30336
185.25233;     0.30817
186.25233;     0.31254
187.25233;     0.31731
188.25233;     0.32185
189.25233;     0.32675
190.25233;     0.33179
191.25233;     0.33616
192.25233;     0.34140
193.25233;     0.34518
194.25233;     0.35043
195.25233;     0.35467
196.25233;     0.35938
197.25233;     0.36452
198.25233;     0.36973
199.25233;     0.37433
200.25233;     0.37982
201.25233;     0.38441
202.25233;     0.38926
203.25233;     0.39479
204.25233;     0.40045
205.25233;     0.40451
206.25233;     0.41027
207.25233;     0.41574
208.25233;     0.42109
209.25233;     0.42604
210.25233;     0.43180
211.25233;     0.43787
212.25233;     0.44351
213.25233;     0.44986
214.25233;     0.45581
215.25233;     0.46207
216.25233;     0.46836
217.25233;     0.47432
218.25233;     0.48130
219.25233;     0.48811
220.25233;     0.49379
221.25233;     0.50194
222.25233;     0.50902
223.25233;     0.51683
224.25233;     0.52417
225.25233;     0.53244
226.25233;     0.54090
227.25233;     0.54880
228.25233;     0.55661
229.25233;     0.56599
230.25233;     0.57433
231.25233;     0.58449
232.25233;     0.59337
233.25233;     0.60319
234.25233;     0.61391
235.25233;     0.62508
236.25233;     0.63595
237.25233;     0.64716
238.25233;     0.65968
239.25233;     0.67231
240.25233;     0.68497
241.25233;     0.69950
242.25233;     0.71278
243.25233;     0.72736
244.25233;     0.74217
245.25233;     0.75718
246.25233;     0.77359
247.25233;     0.78976
248.25233;     0.80696
249.25233;     0.82491
250.25233;     0.84383
251.25233;     0.86292
252.25233;     0.88315
253.25233;     0.90418
254.25233;     0.92624
255.25233;     0.94963
256.25233;     0.97414
257.25233;     0.99925
258.25233;     1.02445
259.25233;     1.05050
260.25233;     1.07745
261.25233;     1.10552
262.25233;     1.13388
263.25233;     1.16323
264.25233;     1.19237
265.25233;     1.22168
266.25233;     1.25163
267.25233;     1.28435
268.25233;     1.31526
269.25233;     1.34730
270.25233;     1.37939
271.25233;     1.41210
272.25233;     1.44405
273.25233;     1.47759
274.25233;     1.51031
275.25233;     1.54383
276.25233;     1.57726
277.25233;     1.61105
278.25233;     1.64394
279.25233;     1.67735
280.25233;     1.71063
281.25233;     1.74476
282.25233;     1.77800
283.25233;     1.81077
284.25233;     1.84394
285.25233;     1.87722
286.25233;     1.91014
287.25233;     1.94207
288.25233;     1.97305
289.25233;     2.00383
290.25233;     2.03337
291.25233;     2.06186
292.25233;     2.09085
293.25233;     2.11769
294.25233;     2.14355
295.25233;     2.16954
296.25233;     2.19291
297.25233;     2.21464
298.25233;     2.23679
299.25233;     2.25763
300.25233;     2.27805
301.25233;     2.29833
302.25233;     2.31714
303.25233;     2.33477
304.25233;     2.35381
305.25233;     2.37240
306.25233;     2.39306
307.25233;     2.41195
308.25233;     2.43315
309.25233;     2.45644
310.25233;     2.48315
311.25233;     2.51023
312.25233;     2.54086
313.25233;     2.57410
314.25233;     2.61108
315.25233;     2.65356
316.25233;     2.70179
317.25233;     2.75458
318.25233;     2.81658
319.25233;     2.88352
320.25233;     2.95901
321.25233;     3.04208
322.25233;     3.13324
323.25233;     3.23336
324.25233;     3.33409
325.25233;     3.44400
326.25233;     3.55142
327.25233;     3.66303
328.25233;     3.77083
329.25233;     3.87309
330.25233;     3.97326
331.25233;     4.07128
332.25233;     4.16171
333.25233;     4.23631
334.25233;     4.28957
335.25233;     4.32243
336.25233;     4.32766
337.25233;     4.27167
338.25233;     4.81339
339.25233;     4.90279
340.25233;     4.97604
341.25233;     5.04423
342.25233;     5.10066
343.25233;     5.14378
344.25233;     5.17290
345.25233;     5.19221
346.25233;     5.20590
