#FILE:                        13WaT18 10 K min air 14.2.07.dsu
#FORMAT:                      NETZSCH4                        
#IDENTITY:                    13 WaT18 10 K min air           
#DECIMAL:                     POINT                           
#SEPARATOR:                   SEMICOLON                       
#MTYPE:                       TG                              
#INSTRUMENT:                  NETZSCH STA 449C                
#PROJECT:                     vtt                             
#DATE/TIME:                   14.2.2007 8:09:24               
#CORR. FILE:                  correction 10Kmin air 800 C.bsu 
#LABORATORY:                  EO                              
#OPERATOR:                    TL                              
#REMARK:                                                      
#SAMPLE:                      13 WaT18                        
#SAMPLE MASS /mg:             11.943                          
#MATERIAL:                    Empty crucibles                 
#REFERENCE:                   al2o3                           
#REFERENCE MASS /mg:          40.312                          
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                
#SAMPLE CRUCIBLE MASS /mg:    0.000                           
#REFERENCE CRUCIBLE MASS /mg: 0.000                           
#PROTECTIVE GAS:              N2                              
#PURGE GAS 1:                 air                             
#FLOW RATE 1 /(ml/min):       40                              
#PURGE GAS 2:                                                 
#FLOW RATE 2:                                                 
#DSC RANGE /æm:               5000                            
#TG RANGE /æm:                5000                            
#CORR. CODE:                  020                             
#EXO:                         +1                              
#RANGE:                       20.0/10.00(K/min)/800.0         
#SEGMENT:                     S1/1                            

##Temp./øC;Mass/%
 21.25233;   100.00000
 22.25233;    99.94681
 23.25233;    99.93902
 24.25233;    99.93397
 25.25233;    99.92579
 26.25233;    99.92124
 27.25233;    99.91583
 28.25233;    99.91290
 29.25233;    99.90271
 30.25233;    99.89295
 31.25233;    99.88599
 32.25233;    99.87659
 33.25233;    99.87018
 34.25233;    99.86095
 35.25233;    99.84747
 36.25233;    99.83227
 37.25233;    99.82424
 38.25233;    99.81187
 39.25233;    99.79425
 40.25233;    99.77295
 41.25233;    99.75718
 42.25233;    99.74018
 43.25233;    99.72268
 44.25233;    99.70547
 45.25233;    99.68879
 46.25233;    99.66902
 47.25233;    99.65160
 48.25233;    99.63295
 49.25233;    99.60700
 50.25233;    99.57694
 51.25233;    99.55106
 52.25233;    99.52849
 53.25233;    99.49172
 54.25233;    99.46077
 55.25233;    99.43331
 56.25233;    99.40317
 57.25233;    99.36799
 58.25233;    99.33683
 59.25233;    99.29660
 60.25233;    99.25650
 61.25233;    99.21589
 62.25233;    99.18135
 63.25233;    99.14461
 64.25233;    99.09924
 65.25233;    99.05590
 66.25233;    99.01123
 67.25233;    98.96417
 68.25233;    98.91513
 69.25233;    98.87171
 70.25233;    98.82464
 71.25233;    98.78155
 72.25233;    98.73123
 73.25233;    98.67769
 74.25233;    98.62696
 75.25233;    98.57601
 76.25233;    98.52563
 77.25233;    98.47469
 78.25233;    98.42865
 79.25233;    98.37397
 80.25233;    98.32397
 81.25233;    98.27396
 82.25233;    98.21949
 83.25233;    98.17134
 84.25233;    98.12862
 85.25233;    98.08174
 86.25233;    98.03320
 87.25233;    97.98662
 88.25233;    97.94440
 89.25233;    97.89866
 90.25233;    97.86010
 91.25233;    97.82249
 92.25233;    97.78026
 93.25233;    97.74453
 94.25233;    97.70975
 95.25233;    97.67514
 96.25233;    97.64014
 97.25233;    97.61486
 98.25233;    97.58270
 99.25233;    97.55283
100.25233;    97.52806
101.25233;    97.50384
102.25233;    97.47985
103.25233;    97.46436
104.25233;    97.43992
105.25233;    97.41739
106.25233;    97.39984
107.25233;    97.38875
108.25233;    97.37052
109.25233;    97.36297
110.25233;    97.35006
111.25233;    97.33196
112.25233;    97.31802
113.25233;    97.31069
114.25233;    97.30441
115.25233;    97.29752
116.25233;    97.28661
117.25233;    97.27647
118.25233;    97.26439
119.25233;    97.25571
120.25233;    97.25034
121.25233;    97.24594
122.25233;    97.24022
123.25233;    97.23382
124.25233;    97.22916
125.25233;    97.22338
126.25233;    97.22013
127.25233;    97.21778
128.25233;    97.20988
129.25233;    97.20507
130.25233;    97.20252
131.25233;    97.19623
132.25233;    97.19258
133.25233;    97.18838
134.25233;    97.18488
135.25233;    97.18257
136.25233;    97.17998
137.25233;    97.17835
138.25233;    97.17479
139.25233;    97.17068
140.25233;    97.16759
141.25233;    97.16527
142.25233;    97.16378
143.25233;    97.16049
144.25233;    97.15728
145.25233;    97.15639
146.25233;    97.15707
147.25233;    97.15406
148.25233;    97.14996
149.25233;    97.14041
150.25233;    97.13388
151.25233;    97.13451
152.25233;    97.13329
153.25233;    97.13105
154.25233;    97.12893
155.25233;    97.12718
156.25233;    97.12376
157.25233;    97.11965
158.25233;    97.12055
159.25233;    97.11664
160.25233;    97.11301
161.25233;    97.10885
162.25233;    97.10520
163.25233;    97.10472
164.25233;    97.10542
165.25233;    97.10129
166.25233;    97.09716
167.25233;    97.09422
168.25233;    97.09018
169.25233;    97.08751
170.25233;    97.08568
171.25233;    97.08333
172.25233;    97.07837
173.25233;    97.07442
174.25233;    97.07269
175.25233;    97.06526
176.25233;    97.06199
177.25233;    97.05892
178.25233;    97.05614
179.25233;    97.05267
180.25233;    97.04987
181.25233;    97.04312
182.25233;    97.04081
183.25233;    97.03544
184.25233;    97.02830
185.25233;    97.02584
186.25233;    97.02252
187.25233;    97.01524
188.25233;    97.00701
189.25233;    96.99879
190.25233;    96.98971
191.25233;    96.98476
192.25233;    96.97915
193.25233;    96.97227
194.25233;    96.96205
195.25233;    96.95349
196.25233;    96.94405
197.25233;    96.93054
198.25233;    96.92013
199.25233;    96.91275
200.25233;    96.89947
201.25233;    96.88872
202.25233;    96.87506
203.25233;    96.85967
204.25233;    96.84928
205.25233;    96.83323
206.25233;    96.82312
207.25233;    96.80960
208.25233;    96.80076
209.25233;    96.78522
210.25233;    96.76988
211.25233;    96.75836
212.25233;    96.74305
213.25233;    96.72538
214.25233;    96.71507
215.25233;    96.70298
216.25233;    96.67637
217.25233;    96.65745
218.25233;    96.63731
219.25233;    96.62240
220.25233;    96.60129
221.25233;    96.58039
222.25233;    96.55634
223.25233;    96.53030
224.25233;    96.50371
225.25233;    96.48034
226.25233;    96.45621
227.25233;    96.42451
228.25233;    96.39697
229.25233;    96.36021
230.25233;    96.32880
231.25233;    96.28898
232.25233;    96.25491
233.25233;    96.21248
234.25233;    96.17594
235.25233;    96.13463
236.25233;    96.08169
237.25233;    96.03045
238.25233;    95.97864
239.25233;    95.92044
240.25233;    95.86230
241.25233;    95.80349
242.25233;    95.73821
243.25233;    95.66590
244.25233;    95.59347
245.25233;    95.51675
246.25233;    95.43708
247.25233;    95.35073
248.25233;    95.25791
249.25233;    95.13653
250.25233;    95.04255
251.25233;    94.92468
252.25233;    94.81444
253.25233;    94.69795
254.25233;    94.56180
255.25233;    94.42448
256.25233;    94.28058
257.25233;    94.12158
258.25233;    93.96156
259.25233;    93.79286
260.25233;    93.60407
261.25233;    93.41351
262.25233;    93.20780
263.25233;    92.99344
264.25233;    92.76024
265.25233;    92.51664
266.25233;    92.25478
267.25233;    91.97589
268.25233;    91.68187
269.25233;    91.37993
270.25233;    91.05301
271.25233;    90.49245
272.25233;    90.12667
