#FILE:                        13WaT18 2 K min N2 15.2.2007.dsu
#FORMAT:                      NETZSCH4                        
#IDENTITY:                    13 WaT18 2 K min N2             
#DECIMAL:                     POINT                           
#SEPARATOR:                   SEMICOLON                       
#MTYPE:                       DSC                             
#INSTRUMENT:                  NETZSCH STA 449C                
#PROJECT:                     vtt                             
#DATE/TIME:                   15.2.2007 12:04:57              
#CORR. FILE:                  correction 2K min N2 800 C.bsu  
#LABORATORY:                  EO                              
#OPERATOR:                    TL                              
#REMARK:                                                      
#SAMPLE:                      13 WaT18                        
#SAMPLE MASS /mg:             12.065                          
#MATERIAL:                    Empty crucibles                 
#REFERENCE:                   al2o3                           
#REFERENCE MASS /mg:          40.312                          
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                
#SAMPLE CRUCIBLE MASS /mg:    0.000                           
#REFERENCE CRUCIBLE MASS /mg: 0.000                           
#PROTECTIVE GAS:              N2                              
#PURGE GAS 1:                 air                             
#FLOW RATE 1 /(ml/min):       40                              
#PURGE GAS 2:                 N2                              
#FLOW RATE 2:                                                 
#DSC RANGE /æm:               5000                            
#TG RANGE /æm:                5000                            
#CORR. CODE:                  020                             
#EXO:                         +1                              
#RANGE:                       20.0/2.00(K/min)/800.0          
#SEGMENT:                     S1/2                            

##Temp./øC;DSC/(mW/mg)
 23.85012;-1.1263e-002
 24.85012;-1.9010e-002
 25.85012;-3.0111e-002
 26.85012;-3.9685e-002
 27.85012;-4.8032e-002
 28.85012;-5.5285e-002
 29.85012;-6.1162e-002
 30.85012;-6.5971e-002
 31.85012;-7.0976e-002
 32.85012;-7.4512e-002
 33.85012;-7.7360e-002
 34.85012;-8.0102e-002
 35.85012;-8.2401e-002
 36.85012;-8.5101e-002
 37.85012;-8.6676e-002
 38.85012;-8.7098e-002
 39.85012;-8.9161e-002
 40.85012;-8.9439e-002
 41.85012;-9.0436e-002
 42.85012;-9.0688e-002
 43.85012;-9.2325e-002
 44.85012;-9.2072e-002
 45.85012;-9.2857e-002
 46.85012;-9.3424e-002
 47.85012;-9.4446e-002
 48.85012;-9.4598e-002
 49.85012;-9.5177e-002
 50.85012;-9.5718e-002
 51.85012;-9.5297e-002
 52.85012;-9.4965e-002
 53.85012;-9.5467e-002
 54.85012;-9.5081e-002
 55.85012;-9.4547e-002
 56.85012;-9.4041e-002
 57.85012;-9.3257e-002
 58.85012;-9.2573e-002
 59.85012;-9.0681e-002
 60.85012;-8.8918e-002
 61.85012;-8.7951e-002
 62.85012;-8.5672e-002
 63.85012;-8.4722e-002
 64.85012;-8.2032e-002
 65.85012;-7.9471e-002
 66.85012;-7.7810e-002
