#FILE:                        13WaT18 20 K min N2 7.2.2007.dsu
#FORMAT:                      NETZSCH4                        
#IDENTITY:                    13WaT18 20 K min N2             
#DECIMAL:                     POINT                           
#SEPARATOR:                   SEMICOLON                       
#MTYPE:                       DSC                             
#INSTRUMENT:                  NETZSCH STA 449C                
#PROJECT:                     vtt                             
#DATE/TIME:                   7.2.2007 14:10:03               
#CORR. FILE:                  correction 20K min N2 800 C.bsu 
#LABORATORY:                  EO                              
#OPERATOR:                    TL                              
#REMARK:                                                      
#SAMPLE:                      13WaT18                         
#SAMPLE MASS /mg:             12.208                          
#MATERIAL:                    Empty crucibles                 
#REFERENCE:                   al2o3                           
#REFERENCE MASS /mg:          40.312                          
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                
#SAMPLE CRUCIBLE MASS /mg:    0.000                           
#REFERENCE CRUCIBLE MASS /mg: 0.000                           
#PROTECTIVE GAS:              N2                              
#PURGE GAS 1:                 air                             
#FLOW RATE 1 /(ml/min):       40                              
#PURGE GAS 2:                                                 
#FLOW RATE 2:                                                 
#DSC RANGE /æm:               5000                            
#TG RANGE /æm:                5000                            
#CORR. CODE:                  020                             
#EXO:                         +1                              
#RANGE:                       20.0/20.00(K/min)/800.0         
#SEGMENT:                     S1/2                            

##Temp./øC;DSC/(mW/mg)
 20.05544;-3.2022e-003
 21.05544;-1.3659e-003
 22.05544; 1.1193e-002
 23.05544; 3.2172e-002
 24.05544; 5.7446e-002
 25.05544; 8.2793e-002
 26.05544;     0.10272
 27.05544;     0.11472
 28.05544;     0.11892
 29.05544;     0.11807
 30.05544;     0.11122
 31.05544;     0.10194
 32.05544; 8.9137e-002
 33.05544; 7.6200e-002
 34.05544; 6.0156e-002
 35.05544; 4.4991e-002
 36.05544; 3.1132e-002
 37.05544; 1.5373e-002
 38.05544; 1.0583e-003
 39.05544;-1.1414e-002
 40.05544;-2.1414e-002
 41.05544;-3.1683e-002
 42.05544;-3.8222e-002
 43.05544;-4.3676e-002
 44.05544;-4.7383e-002
 45.05544;-4.9707e-002
 46.05544;-4.9403e-002
 47.05544;-4.9245e-002
 48.05544;-4.7847e-002
 49.05544;-4.5435e-002
 50.05544;-4.3166e-002
 51.05544;-4.1140e-002
 52.05544;-3.9825e-002
 53.05544;-3.8599e-002
 54.05544;-3.7964e-002
 55.05544;-3.8682e-002
 56.05544;-4.1235e-002
 57.05544;-4.4327e-002
 58.05544;-4.7841e-002
 59.05544;-5.1940e-002
 60.05544;-5.7550e-002
 61.05544;-6.4162e-002
 62.05544;-7.1316e-002
 63.05544;-7.8858e-002
 64.05544;-8.7072e-002
 65.05544;-9.5260e-002
 66.05544;    -0.10223
 67.05544;    -0.11005
 68.05544;    -0.11725
 69.05544;    -0.12459
 70.05544;    -0.13230
 71.05544;    -0.13876
 72.05544;    -0.14544
 73.05544;    -0.15058
 74.05544;    -0.15687
 75.05544;    -0.16121
 76.05544;    -0.16650
 77.05544;    -0.17081
 78.05544;    -0.17426
 79.05544;    -0.17794
 80.05544;    -0.18109
 81.05544;    -0.18345
 82.05544;    -0.18539
 83.05544;    -0.18750
 84.05544;    -0.18999
 85.05544;    -0.19219
 86.05544;    -0.19379
 87.05544;    -0.19495
 88.05544;    -0.19637
 89.05544;    -0.19738
 90.05544;    -0.19807
 91.05544;    -0.19842
 92.05544;    -0.19949
 93.05544;    -0.19834
 94.05544;    -0.19716
 95.05544;    -0.19663
 96.05544;    -0.19503
 97.05544;    -0.19274
 98.05544;    -0.19013
 99.05544;    -0.18627
100.05544;    -0.18202
101.05544;    -0.17716
102.05544;    -0.17050
103.05544;    -0.16365
104.05544;    -0.15704
105.05544;    -0.14848
106.05544;    -0.13880
107.05544;    -0.13016
108.05544;    -0.11832
109.05544;    -0.10739
110.05544;-9.5984e-002
111.05544;-8.4137e-002
112.05544;-7.0628e-002
113.05544;-5.7715e-002
114.05544;-4.4373e-002
115.05544;-3.0409e-002
116.05544;-1.7028e-002
117.05544;-2.5080e-003
118.05544; 1.1212e-002
119.05544; 2.5726e-002
120.05544; 3.9358e-002
121.05544; 5.3333e-002
122.05544; 6.7727e-002
123.05544; 8.0763e-002
124.05544; 9.4320e-002
125.05544;     0.10721
126.05544;     0.12062
127.05544;     0.13326
128.05544;     0.14588
129.05544;     0.15689
130.05544;     0.17055
131.05544;     0.18013
132.05544;     0.19260
133.05544;     0.20345
134.05544;     0.21447
135.05544;     0.22455
136.05544;     0.23457
137.05544;     0.24433
138.05544;     0.25404
139.05544;     0.26429
