#FILE:                        13WaT18 20 K min air 7.2.2007.dsu
#FORMAT:                      NETZSCH4                         
#IDENTITY:                    13WaT18 20 K min air             
#DECIMAL:                     POINT                            
#SEPARATOR:                   SEMICOLON                        
#MTYPE:                       DSC                              
#INSTRUMENT:                  NETZSCH STA 449C                 
#PROJECT:                     vtt                              
#DATE/TIME:                   7.2.2007 8:22:58                 
#CORR. FILE:                  correction 20Kmin air 800 C.bsu  
#LABORATORY:                  EO                               
#OPERATOR:                    TL                               
#REMARK:                                                       
#SAMPLE:                      13WaT18                          
#SAMPLE MASS /mg:             12.498                           
#MATERIAL:                    Empty crucibles                  
#REFERENCE:                   al2o3                            
#REFERENCE MASS /mg:          40.312                           
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                 
#SAMPLE CRUCIBLE MASS /mg:    0.000                            
#REFERENCE CRUCIBLE MASS /mg: 0.000                            
#PROTECTIVE GAS:              N2                               
#PURGE GAS 1:                 air                              
#FLOW RATE 1 /(ml/min):       40                               
#PURGE GAS 2:                                                  
#FLOW RATE 2:                                                  
#DSC RANGE /æm:               5000                             
#TG RANGE /æm:                5000                             
#CORR. CODE:                  020                              
#EXO:                         +1                               
#RANGE:                       20.0/20.00(K/min)/800.0          
#SEGMENT:                     S1/1                             

##Temp./øC;DSC/(mW/mg)
 19.80000; 7.3594e-004
 20.80000; 1.0125e-002
 21.80000; 2.9140e-002
 22.80000; 5.4409e-002
 23.80000; 8.7798e-002
 24.80000;     0.12010
 25.80000;     0.14457
 26.80000;     0.16118
 27.80000;     0.17006
 28.80000;     0.17130
 29.80000;     0.16829
 30.80000;     0.15978
 31.80000;     0.14803
 32.80000;     0.13506
 33.80000;     0.11986
 34.80000;     0.10435
 35.80000; 8.7718e-002
 36.80000; 7.2078e-002
 37.80000; 5.6900e-002
 38.80000; 4.3498e-002
 39.80000; 3.0514e-002
 40.80000; 1.9550e-002
 41.80000; 1.1071e-002
 42.80000; 4.4795e-003
 43.80000;-9.7008e-004
 44.80000;-4.4045e-003
 45.80000;-4.8301e-003
 46.80000;-4.5153e-003
 47.80000;-2.9499e-003
 48.80000;-6.0673e-004
 49.80000; 2.5771e-003
 50.80000; 5.4555e-003
 51.80000; 7.3108e-003
 52.80000; 9.0432e-003
 53.80000; 1.0178e-002
 54.80000; 1.0756e-002
 55.80000; 9.6049e-003
 56.80000; 7.1630e-003
 57.80000; 3.7977e-003
 58.80000;-6.5571e-004
 59.80000;-4.2777e-003
 60.80000;-1.0781e-002
 61.80000;-1.6457e-002
 62.80000;-2.3693e-002
 63.80000;-3.0630e-002
 64.80000;-3.8697e-002
 65.80000;-4.6142e-002
