#FILE:                        13WaT18 20 K min air 7.2.2007.dsu
#FORMAT:                      NETZSCH4                         
#IDENTITY:                    13WaT18 20 K min air             
#DECIMAL:                     POINT                            
#SEPARATOR:                   SEMICOLON                        
#MTYPE:                       TG                               
#INSTRUMENT:                  NETZSCH STA 449C                 
#PROJECT:                     vtt                              
#DATE/TIME:                   7.2.2007 8:22:58                 
#CORR. FILE:                  correction 20Kmin air 800 C.bsu  
#LABORATORY:                  EO                               
#OPERATOR:                    TL                               
#REMARK:                                                       
#SAMPLE:                      13WaT18                          
#SAMPLE MASS /mg:             12.498                           
#MATERIAL:                    Empty crucibles                  
#REFERENCE:                   al2o3                            
#REFERENCE MASS /mg:          40.312                           
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                 
#SAMPLE CRUCIBLE MASS /mg:    0.000                            
#REFERENCE CRUCIBLE MASS /mg: 0.000                            
#PROTECTIVE GAS:              N2                               
#PURGE GAS 1:                 air                              
#FLOW RATE 1 /(ml/min):       40                               
#PURGE GAS 2:                                                  
#FLOW RATE 2:                                                  
#DSC RANGE /æm:               5000                             
#TG RANGE /æm:                5000                             
#CORR. CODE:                  020                              
#EXO:                         +1                               
#RANGE:                       20.0/20.00(K/min)/800.0          
#SEGMENT:                     S1/1                             

##Temp./øC;Mass/%
 19.80000;99.98172
 20.80000;99.97887
 21.80000;99.97382
 22.80000;99.97205
 23.80000;99.97530
 24.80000;99.96421
 25.80000;99.95798
 26.80000;99.97042
 27.80000;99.96770
 28.80000;99.96715
 29.80000;99.96724
 30.80000;99.96886
 31.80000;99.96374
 32.80000;99.96042
 33.80000;99.96799
 34.80000;99.96644
 35.80000;99.96572
 36.80000;99.96549
 37.80000;99.96217
 38.80000;99.95431
 39.80000;99.94895
 40.80000;99.94559
 41.80000;99.93988
 42.80000;99.93599
 43.80000;99.93118
 44.80000;99.92047
 45.80000;99.91036
 46.80000;99.89985
 47.80000;99.88935
 48.80000;99.88307
 49.80000;99.87750
 50.80000;99.86662
 51.80000;99.85449
 52.80000;99.84345
 53.80000;99.83414
 54.80000;99.81989
 55.80000;99.80572
 56.80000;99.79075
 57.80000;99.78148
 58.80000;99.77440
 59.80000;99.76431
 60.80000;99.75081
 61.80000;99.73964
 62.80000;99.72823
 63.80000;99.70941
 64.80000;99.68668
 65.80000;99.66598
 66.80000;99.64593
 67.80000;99.62830
 68.80000;99.60741
 69.80000;99.58703
 70.80000;99.56657
 71.80000;99.54529
 72.80000;99.52214
 73.80000;99.49755
 74.80000;99.47243
 75.80000;99.44782
 76.80000;99.42155
 77.80000;99.39146
 78.80000;99.36661
 79.80000;99.34195
 80.80000;99.31693
 81.80000;99.28781
 82.80000;99.25698
 83.80000;99.22528
 84.80000;99.19806
 85.80000;99.17061
 86.80000;99.13822
 87.80000;99.10840
 88.80000;99.08105
 89.80000;99.05455
 90.80000;99.02458
 91.80000;98.99582
 92.80000;98.96296
 93.80000;98.93157
 94.80000;98.90146
 95.80000;98.87310
 96.80000;98.84610
 97.80000;98.81707
 98.80000;98.78862
 99.80000;98.76209
100.80000;98.73782
101.80000;98.71531
102.80000;98.69374
103.80000;98.67258
104.80000;98.65129
105.80000;98.63006
106.80000;98.60843
107.80000;98.58579
108.80000;98.56542
109.80000;98.54953
110.80000;98.53643
111.80000;98.52166
112.80000;98.50850
113.80000;98.49668
114.80000;98.48465
115.80000;98.47470
116.80000;98.46323
