#FILE:                        13WaT18 5 K min N2 16.2.2007.dsu
#FORMAT:                      NETZSCH4                        
#IDENTITY:                    13 WaT18 5 K min N2             
#DECIMAL:                     POINT                           
#SEPARATOR:                   SEMICOLON                       
#MTYPE:                       DSC                             
#INSTRUMENT:                  NETZSCH STA 449C                
#PROJECT:                     vtt                             
#DATE/TIME:                   16.2.2007 7:57:49               
#CORR. FILE:                  correction 5K min N2 800 C.bsu  
#LABORATORY:                  EO                              
#OPERATOR:                    TL                              
#REMARK:                                                      
#SAMPLE:                      13 WaT18                        
#SAMPLE MASS /mg:             11.322                          
#MATERIAL:                    Empty crucibles                 
#REFERENCE:                   al2o3                           
#REFERENCE MASS /mg:          40.312                          
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                
#SAMPLE CRUCIBLE MASS /mg:    0.000                           
#REFERENCE CRUCIBLE MASS /mg: 0.000                           
#PROTECTIVE GAS:              N2                              
#PURGE GAS 1:                 air                             
#FLOW RATE 1 /(ml/min):       40                              
#PURGE GAS 2:                                                 
#FLOW RATE 2:                                                 
#DSC RANGE /æm:               5000                            
#TG RANGE /æm:                5000                            
#CORR. CODE:                  020                             
#EXO:                         +1                              
#RANGE:                       20.0/5.00(K/min)/800.0          
#SEGMENT:                     S1/2                            

##Temp./øC;DSC/(mW/mg)
 23.04100;-2.2219e-002
 24.04100;-2.5020e-002
 25.04100;-3.6683e-002
 26.04100;-4.8180e-002
 27.04100;-5.8692e-002
 28.04100;-6.7897e-002
 29.04100;-7.7086e-002
 30.04100;-8.5774e-002
 31.04100;-9.3221e-002
 32.04100;    -0.10065
 33.04100;    -0.10877
 34.04100;    -0.11630
 35.04100;    -0.12190
 36.04100;    -0.12927
 37.04100;    -0.13559
 38.04100;    -0.14140
 39.04100;    -0.14850
 40.04100;    -0.15456
 41.04100;    -0.15963
 42.04100;    -0.16539
 43.04100;    -0.17046
 44.04100;    -0.17593
 45.04100;    -0.18091
 46.04100;    -0.18563
 47.04100;    -0.19096
 48.04100;    -0.19499
 49.04100;    -0.19868
 50.04100;    -0.20242
 51.04100;    -0.20704
 52.04100;    -0.21043
 53.04100;    -0.21413
 54.04100;    -0.21663
 55.04100;    -0.21923
 56.04100;    -0.22184
 57.04100;    -0.22340
 58.04100;    -0.22597
 59.04100;    -0.22777
 60.04100;    -0.22847
 61.04100;    -0.22869
 62.04100;    -0.22941
 63.04100;    -0.22937
 64.04100;    -0.22922
 65.04100;    -0.22844
 66.04100;    -0.22726
 67.04100;    -0.22537
 68.04100;    -0.22263
 69.04100;    -0.22011
 70.04100;    -0.21632
 71.04100;    -0.21358
 72.04100;    -0.20918
 73.04100;    -0.20501
 74.04100;    -0.19959
 75.04100;    -0.19438
 76.04100;    -0.18862
 77.04100;    -0.18241
 78.04100;    -0.17619
 79.04100;    -0.17006
 80.04100;    -0.16311
 81.04100;    -0.15489
 82.04100;    -0.14815
 83.04100;    -0.14151
 84.04100;    -0.13325
 85.04100;    -0.12637
 86.04100;    -0.11831
 87.04100;    -0.11085
 88.04100;    -0.10309
 89.04100;-9.6174e-002
 90.04100;-8.8759e-002
 91.04100;-8.2228e-002
 92.04100;-7.4945e-002
 93.04100;-6.8651e-002
 94.04100;-6.1811e-002
 95.04100;-5.5927e-002
 96.04100;-4.9796e-002
 97.04100;-4.4303e-002
 98.04100;-3.8143e-002
 99.04100;-3.2797e-002
100.04100;-2.7078e-002
101.04100;-2.2307e-002
102.04100;-1.6525e-002
103.04100;-1.1531e-002
104.04100;-7.6172e-003
105.04100;-1.8722e-003
106.04100; 2.7256e-003
107.04100; 6.8954e-003
108.04100; 1.1164e-002
109.04100; 1.4978e-002
110.04100; 1.8975e-002
111.04100; 2.2601e-002
112.04100; 2.6015e-002
113.04100; 3.0652e-002
114.04100; 3.3811e-002
115.04100; 3.6941e-002
116.04100; 4.0483e-002
117.04100; 4.4652e-002
118.04100; 4.6916e-002
119.04100; 5.0567e-002
120.04100; 5.4715e-002
121.04100; 5.6198e-002
