#FILE:                        13WaT18 5 K min air 16.2.07.dsu
#FORMAT:                      NETZSCH4                       
#IDENTITY:                    13 WaT18 5 K min air           
#DECIMAL:                     POINT                          
#SEPARATOR:                   SEMICOLON                      
#MTYPE:                       DSC                            
#INSTRUMENT:                  NETZSCH STA 449C               
#PROJECT:                     vtt                            
#DATE/TIME:                   16.2.2007 14:13:33             
#CORR. FILE:                  correction 5Kmin air 800 C.bsu 
#LABORATORY:                  EO                             
#OPERATOR:                    TL                             
#REMARK:                                                     
#SAMPLE:                      13 WaT18                       
#SAMPLE MASS /mg:             12.341                         
#MATERIAL:                    Empty crucibles                
#REFERENCE:                   al2o3                          
#REFERENCE MASS /mg:          40.312                         
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3               
#SAMPLE CRUCIBLE MASS /mg:    0.000                          
#REFERENCE CRUCIBLE MASS /mg: 0.000                          
#PROTECTIVE GAS:              N2                             
#PURGE GAS 1:                 air                            
#FLOW RATE 1 /(ml/min):       40                             
#PURGE GAS 2:                                                
#FLOW RATE 2:                                                
#DSC RANGE /æm:               5000                           
#TG RANGE /æm:                5000                           
#CORR. CODE:                  020                            
#EXO:                         +1                             
#RANGE:                       20.0/5.00(K/min)/800.0         
#SEGMENT:                     S1/1                           

##Temp./øC;DSC/(mW/mg)
 21.94700;-2.7377e-002
 22.94700;-3.8574e-002
 23.94700;-5.4689e-002
 24.94700;-6.8808e-002
 25.94700;-7.9770e-002
 26.94700;-9.0461e-002
 27.94700;    -0.10024
 28.94700;    -0.10860
 29.94700;    -0.11642
 30.94700;    -0.12381
 31.94700;    -0.13117
 32.94700;    -0.13845
 33.94700;    -0.14524
 34.94700;    -0.15180
 35.94700;    -0.15920
 36.94700;    -0.16579
 37.94700;    -0.17126
 38.94700;    -0.17741
 39.94700;    -0.18274
 40.94700;    -0.18866
 41.94700;    -0.19365
 42.94700;    -0.19877
 43.94700;    -0.20366
 44.94700;    -0.20843
 45.94700;    -0.21314
 46.94700;    -0.21827
 47.94700;    -0.22243
 48.94700;    -0.22549
 49.94700;    -0.22898
 50.94700;    -0.23294
 51.94700;    -0.23609
 52.94700;    -0.23916
 53.94700;    -0.24157
 54.94700;    -0.24430
 55.94700;    -0.24631
 56.94700;    -0.24814
 57.94700;    -0.25053
 58.94700;    -0.25140
 59.94700;    -0.25276
 60.94700;    -0.25296
 61.94700;    -0.25347
 62.94700;    -0.25336
 63.94700;    -0.25344
 64.94700;    -0.25233
 65.94700;    -0.25075
 66.94700;    -0.24912
 67.94700;    -0.24740
 68.94700;    -0.24491
 69.94700;    -0.24263
 70.94700;    -0.23881
 71.94700;    -0.23429
 72.94700;    -0.23044
 73.94700;    -0.22613
 74.94700;    -0.22174
 75.94700;    -0.21579
 76.94700;    -0.21049
 77.94700;    -0.20419
 78.94700;    -0.19760
 79.94700;    -0.19113
 80.94700;    -0.18487
 81.94700;    -0.17757
 82.94700;    -0.17065
 83.94700;    -0.16345
 84.94700;    -0.15561
 85.94700;    -0.14857
 86.94700;    -0.14099
 87.94700;    -0.13388
 88.94700;    -0.12653
 89.94700;    -0.11848
 90.94700;    -0.11100
 91.94700;    -0.10420
 92.94700;-9.7230e-002
 93.94700;-9.0713e-002
 94.94700;-8.3935e-002
 95.94700;-7.7353e-002
 96.94700;-7.1672e-002
 97.94700;-6.5151e-002
 98.94700;-5.9233e-002
 99.94700;-5.3163e-002
100.94700;-4.8064e-002
101.94700;-4.3025e-002
102.94700;-3.8032e-002
103.94700;-3.3022e-002
104.94700;-2.8252e-002
105.94700;-2.3378e-002
106.94700;-1.9290e-002
107.94700;-1.5221e-002
108.94700;-1.0794e-002
109.94700;-7.1274e-003
110.94700;-3.0185e-003
111.94700; 3.9030e-004
112.94700; 3.9618e-003
113.94700; 7.8427e-003
114.94700; 1.1242e-002
115.94700; 1.4466e-002
116.94700; 1.8305e-002
117.94700; 2.1564e-002
118.94700; 2.5068e-002
119.94700; 2.7606e-002
120.94700; 3.0928e-002
121.94700; 3.4283e-002
122.94700; 3.7583e-002
123.94700; 4.0237e-002
124.94700; 4.3386e-002
125.94700; 4.6379e-002
