#FILE:                        13WaT18 5 K min air 16.2.07.dsu
#FORMAT:                      NETZSCH4                       
#IDENTITY:                    13 WaT18 5 K min air           
#DECIMAL:                     POINT                          
#SEPARATOR:                   SEMICOLON                      
#MTYPE:                       TG                             
#INSTRUMENT:                  NETZSCH STA 449C               
#PROJECT:                     vtt                            
#DATE/TIME:                   16.2.2007 14:13:33             
#CORR. FILE:                  correction 5Kmin air 800 C.bsu 
#LABORATORY:                  EO                             
#OPERATOR:                    TL                             
#REMARK:                                                     
#SAMPLE:                      13 WaT18                       
#SAMPLE MASS /mg:             12.341                         
#MATERIAL:                    Empty crucibles                
#REFERENCE:                   al2o3                          
#REFERENCE MASS /mg:          40.312                         
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3               
#SAMPLE CRUCIBLE MASS /mg:    0.000                          
#REFERENCE CRUCIBLE MASS /mg: 0.000                          
#PROTECTIVE GAS:              N2                             
#PURGE GAS 1:                 air                            
#FLOW RATE 1 /(ml/min):       40                             
#PURGE GAS 2:                                                
#FLOW RATE 2:                                                
#DSC RANGE /æm:               5000                           
#TG RANGE /æm:                5000                           
#CORR. CODE:                  020                            
#EXO:                         +1                             
#RANGE:                       20.0/5.00(K/min)/800.0         
#SEGMENT:                     S1/1                           

##Temp./øC;Mass/%
 21.94700;100.00000
 22.94700;100.10236
 23.94700;100.11809
 24.94700;100.10204
 25.94700;100.07468
 26.94700;100.04465
 27.94700;100.00964
 28.94700; 99.98638
 29.94700; 99.96029
 30.94700; 99.93144
 31.94700; 99.89799
 32.94700; 99.87311
 33.94700; 99.84309
 34.94700; 99.81187
 35.94700; 99.78504
 36.94700; 99.76274
 37.94700; 99.73251
 38.94700; 99.69918
 39.94700; 99.65996
 40.94700; 99.61990
 41.94700; 99.57827
 42.94700; 99.53985
 43.94700; 99.50756
 44.94700; 99.45946
 45.94700; 99.41829
 46.94700; 99.38200
 47.94700; 99.33395
 48.94700; 99.28601
 49.94700; 99.23912
 50.94700; 99.19093
 51.94700; 99.14072
 52.94700; 99.08481
 53.94700; 99.02954
 54.94700; 98.97456
 55.94700; 98.91750
 56.94700; 98.85999
 57.94700; 98.79823
 58.94700; 98.73827
 59.94700; 98.67420
 60.94700; 98.61616
 61.94700; 98.55464
 62.94700; 98.49167
 63.94700; 98.42363
 64.94700; 98.36042
 65.94700; 98.29244
 66.94700; 98.22553
 67.94700; 98.16289
 68.94700; 98.09407
 69.94700; 98.02910
 70.94700; 97.97072
 71.94700; 97.90275
 72.94700; 97.84308
 73.94700; 97.78116
 74.94700; 97.72103
 75.94700; 97.66657
 76.94700; 97.61214
 77.94700; 97.55559
 78.94700; 97.50045
 79.94700; 97.44909
 80.94700; 97.40716
 81.94700; 97.35657
 82.94700; 97.30950
 83.94700; 97.26838
 84.94700; 97.22830
 85.94700; 97.18326
 86.94700; 97.14673
 87.94700; 97.11780
 88.94700; 97.08653
